Amount,School Year,Region,Grade Level,Gender
"75,888",2016-2017,Region V - Bicol Region,Grade 3,Male
"88,035",2016-2017,Region VI - Western Visayas,Grade 3,Male
"86,302",2016-2017,Region VII - Central Visayas,Grade 3,Male
"57,061",2016-2017,Region VIII - Eastern Visayas,Grade 3,Male
"48,109",2016-2017,Region IX - Zamboanga Peninsula,Grade 3,Male
"57,383",2016-2017,Region X - Northern Mindanao,Grade 3,Male
"56,255",2016-2017,Region XI - Davao Region,Grade 3,Male
"56,607",2016-2017,Region XII - Soccsksargen,Grade 3,Male
"35,257",2016-2017,CARAGA - CARAGA,Grade 3,Male
"45,168",2016-2017,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,Grade 3,Male
"18,055",2016-2017,CAR - Cordillera Administrative Region,Grade 3,Male
"104,028",2016-2017,NCR - National Capital Region,Grade 3,Male
"48,891",2016-2017,Region I - Ilocos Region,Grade 3,Female
"35,913",2016-2017,Region II - Cagayan Valley,Grade 3,Female
"108,025",2016-2017,Region III - Central Luzon,Grade 3,Female
"132,922",2016-2017,Region IV-A - CALABARZON,Grade 3,Female
"36,017",2016-2017,Region IV-B - MIMAROPA,Grade 3,Female
"69,254",2016-2017,Region V - Bicol Region,Grade 3,Female
"79,202",2016-2017,Region VI - Western Visayas,Grade 3,Female
"78,325",2016-2017,Region VII - Central Visayas,Grade 3,Female
"51,579",2016-2017,Region VIII - Eastern Visayas,Grade 3,Female
"43,735",2016-2017,Region IX - Zamboanga Peninsula,Grade 3,Female
"51,583",2016-2017,Region X - Northern Mindanao,Grade 3,Female
"51,218",2016-2017,Region XI - Davao Region,Grade 3,Female
"51,977",2016-2017,Region XII - Soccsksargen,Grade 3,Female
"31,524",2016-2017,CARAGA - CARAGA,Grade 3,Female
"46,206",2016-2017,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,Grade 3,Female
"16,367",2016-2017,CAR - Cordillera Administrative Region,Grade 3,Female
"97,071",2016-2017,NCR - National Capital Region,Grade 3,Female
"49,464",2017-2018,Region I - Ilocos Region,Grade 3,Male
"37,272",2017-2018,Region II - Cagayan Valley,Grade 3,Male
"107,922",2017-2018,Region III - Central Luzon,Grade 3,Male
"136,857",2017-2018,Region IV-A - CALABARZON,Grade 3,Male
"37,244",2017-2018,Region IV-B - MIMAROPA,Grade 3,Male
"70,382",2017-2018,Region V - Bicol Region,Grade 3,Male
"81,109",2017-2018,Region VI - Western Visayas,Grade 3,Male
"82,951",2017-2018,Region VII - Central Visayas,Grade 3,Male
"50,785",2017-2018,Region VIII - Eastern Visayas,Grade 3,Male
"42,837",2017-2018,Region IX - Zamboanga Peninsula,Grade 3,Male
"55,750",2017-2018,Region X - Northern Mindanao,Grade 3,Male
"56,471",2017-2018,Region XI - Davao Region,Grade 3,Male
"53,894",2017-2018,Region XII - Soccsksargen,Grade 3,Male
"32,957",2017-2018,CARAGA - CARAGA,Grade 3,Male
"42,227",2017-2018,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,Grade 3,Male
"16,772",2017-2018,CAR - Cordillera Administrative Region,Grade 3,Male
"95,600",2017-2018,NCR - National Capital Region,Grade 3,Male
"45,664",2017-2018,Region I - Ilocos Region,Grade 3,Female
"34,552",2017-2018,Region II - Cagayan Valley,Grade 3,Female
"100,033",2017-2018,Region III - Central Luzon,Grade 3,Female
"127,942",2017-2018,Region IV-A - CALABARZON,Grade 3,Female
"34,203",2017-2018,Region IV-B - MIMAROPA,Grade 3,Female
"63,820",2017-2018,Region V - Bicol Region,Grade 3,Female
"73,968",2017-2018,Region VI - Western Visayas,Grade 3,Female
"75,325",2017-2018,Region VII - Central Visayas,Grade 3,Female
"46,322",2017-2018,Region VIII - Eastern Visayas,Grade 3,Female
"39,592",2017-2018,Region IX - Zamboanga Peninsula,Grade 3,Female
"50,216",2017-2018,Region X - Northern Mindanao,Grade 3,Female
"51,818",2017-2018,Region XI - Davao Region,Grade 3,Female
"49,924",2017-2018,Region XII - Soccsksargen,Grade 3,Female
"30,404",2017-2018,CARAGA - CARAGA,Grade 3,Female
"42,473",2017-2018,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,Grade 3,Female
"15,593",2017-2018,CAR - Cordillera Administrative Region,Grade 3,Female
"90,296",2017-2018,NCR - National Capital Region,Grade 3,Female
"46,222",2018-2019,Region I - Ilocos Region,Grade 3,Male
"34,360",2018-2019,Region II - Cagayan Valley,Grade 3,Male
"101,964",2018-2019,Region III - Central Luzon,Grade 3,Male
"123,948",2018-2019,Region IV-A - CALABARZON,Grade 3,Male
"36,195",2018-2019,Region IV-B - MIMAROPA,Grade 3,Male
"69,460",2018-2019,Region V - Bicol Region,Grade 3,Male
"77,253",2018-2019,Region VI - Western Visayas,Grade 3,Male
"76,822",2018-2019,Region VII - Central Visayas,Grade 3,Male
"49,033",2018-2019,Region VIII - Eastern Visayas,Grade 3,Male
"39,887",2018-2019,Region IX - Zamboanga Peninsula,Grade 3,Male
"52,286",2018-2019,Region X - Northern Mindanao,Grade 3,Male
"52,879",2018-2019,Region XI - Davao Region,Grade 3,Male
"49,551",2018-2019,Region XII - Soccsksargen,Grade 3,Male
"31,666",2018-2019,CARAGA - CARAGA,Grade 3,Male
"41,761",2018-2019,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,Grade 3,Male
"15,914",2018-2019,CAR - Cordillera Administrative Region,Grade 3,Male
"88,393",2018-2019,NCR - National Capital Region,Grade 3,Male
"42,932",2018-2019,Region I - Ilocos Region,Grade 3,Female
"32,085",2018-2019,Region II - Cagayan Valley,Grade 3,Female
"95,249",2018-2019,Region III - Central Luzon,Grade 3,Female
"116,632",2018-2019,Region IV-A - CALABARZON,Grade 3,Female
"33,282",2018-2019,Region IV-B - MIMAROPA,Grade 3,Female
"63,586",2018-2019,Region V - Bicol Region,Grade 3,Female
"71,014",2018-2019,Region VI - Western Visayas,Grade 3,Female
"70,247",2018-2019,Region VII - Central Visayas,Grade 3,Female
"45,368",2018-2019,Region VIII - Eastern Visayas,Grade 3,Female
"37,501",2018-2019,Region IX - Zamboanga Peninsula,Grade 3,Female
"48,152",2018-2019,Region X - Northern Mindanao,Grade 3,Female
"49,238",2018-2019,Region XI - Davao Region,Grade 3,Female
"46,853",2018-2019,Region XII - Soccsksargen,Grade 3,Female
"29,305",2018-2019,CARAGA - CARAGA,Grade 3,Female
"41,601",2018-2019,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,Grade 3,Female
"14,568",2018-2019,CAR - Cordillera Administrative Region,Grade 3,Female
"83,449",2018-2019,NCR - National Capital Region,Grade 3,Female
"40,931",2019-2020,Region I - Ilocos Region,Grade 3,Male
"30,706",2019-2020,Region II - Cagayan Valley,Grade 3,Male
"92,857",2019-2020,Region III - Central Luzon,Grade 3,Male
"118,645",2019-2020,Region IV-A - CALABARZON,Grade 3,Male
"32,560",2019-2020,Region IV-B - MIMAROPA,Grade 3,Male
"63,725",2019-2020,Region V - Bicol Region,Grade 3,Male
"68,129",2019-2020,Region VI - Western Visayas,Grade 3,Male
"65,901",2019-2020,Region VII - Central Visayas,Grade 3,Male
"45,902",2019-2020,Region VIII - Eastern Visayas,Grade 3,Male
"38,786",2019-2020,Region IX - Zamboanga Peninsula,Grade 3,Male
"48,790",2019-2020,Region X - Northern Mindanao,Grade 3,Male
"45,021",2019-2020,Region XI - Davao Region,Grade 3,Male
"44,791",2019-2020,Region XII - Soccsksargen,Grade 3,Male
"28,451",2019-2020,CARAGA - CARAGA,Grade 3,Male
"41,061",2019-2020,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,Grade 3,Male
"14,324",2019-2020,CAR - Cordillera Administrative Region,Grade 3,Male
"83,345",2019-2020,NCR - National Capital Region,Grade 3,Male
"37,062",2019-2020,Region I - Ilocos Region,Grade 3,Female
"27,846",2019-2020,Region II - Cagayan Valley,Grade 3,Female
"84,725",2019-2020,Region III - Central Luzon,Grade 3,Female
"107,517",2019-2020,Region IV-A - CALABARZON,Grade 3,Female
"29,661",2019-2020,Region IV-B - MIMAROPA,Grade 3,Female
"56,410",2019-2020,Region V - Bicol Region,Grade 3,Female
"61,507",2019-2020,Region VI - Western Visayas,Grade 3,Female
"59,586",2019-2020,Region VII - Central Visayas,Grade 3,Female
"41,221",2019-2020,Region VIII - Eastern Visayas,Grade 3,Female
"35,901",2019-2020,Region IX - Zamboanga Peninsula,Grade 3,Female
"44,769",2019-2020,Region X - Northern Mindanao,Grade 3,Female
"40,349",2019-2020,Region XI - Davao Region,Grade 3,Female
"41,728",2019-2020,Region XII - Soccsksargen,Grade 3,Female
"25,772",2019-2020,CARAGA - CARAGA,Grade 3,Female
"40,809",2019-2020,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,Grade 3,Female
"12,950",2019-2020,CAR - Cordillera Administrative Region,Grade 3,Female
"77,376",2019-2020,NCR - National Capital Region,Grade 3,Female
"51,146",2020-2021,Region I - Ilocos Region,Grade 3,Male
"38,175",2020-2021,Region II - Cagayan Valley,Grade 3,Male
"114,662",2020-2021,Region III - Central Luzon,Grade 3,Male
"146,039",2020-2021,Region IV-A - CALABARZON,Grade 3,Male
"37,614",2020-2021,Region IV-B - MIMAROPA,Grade 3,Male
"71,434",2020-2021,Region V - Bicol Region,Grade 3,Male
"82,568",2020-2021,Region VI - Western Visayas,Grade 3,Male
"82,362",2020-2021,Region VII - Central Visayas,Grade 3,Male
"53,538",2020-2021,Region VIII - Eastern Visayas,Grade 3,Male
"44,085",2020-2021,Region IX - Zamboanga Peninsula,Grade 3,Male
"54,622",2020-2021,Region X - Northern Mindanao,Grade 3,Male
"53,904",2020-2021,Region XI - Davao Region,Grade 3,Male
"53,518",2020-2021,Region XII - Soccsksargen,Grade 3,Male
"32,871",2020-2021,CARAGA - CARAGA,Grade 3,Male
"40,937",2020-2021,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,Grade 3,Male
"16,728",2020-2021,CAR - Cordillera Administrative Region,Grade 3,Male
"95,783",2020-2021,NCR - National Capital Region,Grade 3,Male
"46,841",2020-2021,Region I - Ilocos Region,Grade 3,Female
"35,416",2020-2021,Region II - Cagayan Valley,Grade 3,Female
"106,430",2020-2021,Region III - Central Luzon,Grade 3,Female
"136,073",2020-2021,Region IV-A - CALABARZON,Grade 3,Female
"34,908",2020-2021,Region IV-B - MIMAROPA,Grade 3,Female
"65,970",2020-2021,Region V - Bicol Region,Grade 3,Female
"76,019",2020-2021,Region VI - Western Visayas,Grade 3,Female
"76,021",2020-2021,Region VII - Central Visayas,Grade 3,Female
"49,788",2020-2021,Region VIII - Eastern Visayas,Grade 3,Female
"41,317",2020-2021,Region IX - Zamboanga Peninsula,Grade 3,Female
"51,047",2020-2021,Region X - Northern Mindanao,Grade 3,Female
"50,798",2020-2021,Region XI - Davao Region,Grade 3,Female
"49,784",2020-2021,Region XII - Soccsksargen,Grade 3,Female
"30,353",2020-2021,CARAGA - CARAGA,Grade 3,Female
"40,246",2020-2021,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,Grade 3,Female
"15,358",2020-2021,CAR - Cordillera Administrative Region,Grade 3,Female
"89,172",2020-2021,NCR - National Capital Region,Grade 3,Female
"55,918",2016-2017,Region I - Ilocos Region,Grade 4,Male
"38,621",2016-2017,Region II - Cagayan Valley,Grade 4,Male
"118,165",2016-2017,Region III - Central Luzon,Grade 4,Male
"145,620",2016-2017,Region IV-A - CALABARZON,Grade 4,Male
"39,371",2016-2017,Region IV-B - MIMAROPA,Grade 4,Male
"80,525",2016-2017,Region V - Bicol Region,Grade 4,Male
"92,769",2016-2017,Region VI - Western Visayas,Grade 4,Male
"89,152",2016-2017,Region VII - Central Visayas,Grade 4,Male
"58,556",2016-2017,Region VIII - Eastern Visayas,Grade 4,Male
"50,001",2016-2017,Region IX - Zamboanga Peninsula,Grade 4,Male
"58,797",2016-2017,Region X - Northern Mindanao,Grade 4,Male
"61,872",2016-2017,Region XI - Davao Region,Grade 4,Male
"56,128",2016-2017,Region XII - Soccsksargen,Grade 4,Male
"34,873",2016-2017,CARAGA - CARAGA,Grade 4,Male
"40,933",2016-2017,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,Grade 4,Male
"18,620",2016-2017,CAR - Cordillera Administrative Region,Grade 4,Male
"103,886",2016-2017,NCR - National Capital Region,Grade 4,Male
"49,453",2016-2017,Region I - Ilocos Region,Grade 4,Female
"35,194",2016-2017,Region II - Cagayan Valley,Grade 4,Female
"107,658",2016-2017,Region III - Central Luzon,Grade 4,Female
"133,005",2016-2017,Region IV-A - CALABARZON,Grade 4,Female
"35,623",2016-2017,Region IV-B - MIMAROPA,Grade 4,Female
"71,638",2016-2017,Region V - Bicol Region,Grade 4,Female
"82,562",2016-2017,Region VI - Western Visayas,Grade 4,Female
"78,958",2016-2017,Region VII - Central Visayas,Grade 4,Female
"51,581",2016-2017,Region VIII - Eastern Visayas,Grade 4,Female
"44,645",2016-2017,Region IX - Zamboanga Peninsula,Grade 4,Female
"53,202",2016-2017,Region X - Northern Mindanao,Grade 4,Female
"54,812",2016-2017,Region XI - Davao Region,Grade 4,Female
"51,777",2016-2017,Region XII - Soccsksargen,Grade 4,Female
"31,123",2016-2017,CARAGA - CARAGA,Grade 4,Female
"42,522",2016-2017,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,Grade 4,Female
"16,687",2016-2017,CAR - Cordillera Administrative Region,Grade 4,Female
"96,602",2016-2017,NCR - National Capital Region,Grade 4,Female
"53,775",2017-2018,Region I - Ilocos Region,Grade 4,Male
"38,349",2017-2018,Region II - Cagayan Valley,Grade 4,Male
"116,205",2017-2018,Region III - Central Luzon,Grade 4,Male
"143,151",2017-2018,Region IV-A - CALABARZON,Grade 4,Male
"38,671",2017-2018,Region IV-B - MIMAROPA,Grade 4,Male
"74,441",2017-2018,Region V - Bicol Region,Grade 4,Male
"87,032",2017-2018,Region VI - Western Visayas,Grade 4,Male
"84,819",2017-2018,Region VII - Central Visayas,Grade 4,Male
"55,783",2017-2018,Region VIII - Eastern Visayas,Grade 4,Male
"46,476",2017-2018,Region IX - Zamboanga Peninsula,Grade 4,Male
"55,770",2017-2018,Region X - Northern Mindanao,Grade 4,Male
"55,206",2017-2018,Region XI - Davao Region,Grade 4,Male
"55,588",2017-2018,Region XII - Soccsksargen,Grade 4,Male
"34,181",2017-2018,CARAGA - CARAGA,Grade 4,Male
"39,862",2017-2018,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,Grade 4,Male
"17,780",2017-2018,CAR - Cordillera Administrative Region,Grade 4,Male
"100,665",2017-2018,NCR - National Capital Region,Grade 4,Male
"48,760",2017-2018,Region I - Ilocos Region,Grade 4,Female
"35,638",2017-2018,Region II - Cagayan Valley,Grade 4,Female
"107,880",2017-2018,Region III - Central Luzon,Grade 4,Female
"132,858",2017-2018,Region IV-A - CALABARZON,Grade 4,Female
"35,595",2017-2018,Region IV-B - MIMAROPA,Grade 4,Female
"68,443",2017-2018,Region V - Bicol Region,Grade 4,Female
"78,910",2017-2018,Region VI - Western Visayas,Grade 4,Female
"77,757",2017-2018,Region VII - Central Visayas,Grade 4,Female
"51,207",2017-2018,Region VIII - Eastern Visayas,Grade 4,Female
"42,881",2017-2018,Region IX - Zamboanga Peninsula,Grade 4,Female
"51,174",2017-2018,Region X - Northern Mindanao,Grade 4,Female
"50,918",2017-2018,Region XI - Davao Region,Grade 4,Female
"51,549",2017-2018,Region XII - Soccsksargen,Grade 4,Female
"31,140",2017-2018,CARAGA - CARAGA,Grade 4,Female
"40,889",2017-2018,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,Grade 4,Female
"16,199",2017-2018,CAR - Cordillera Administrative Region,Grade 4,Female
"95,037",2017-2018,NCR - National Capital Region,Grade 4,Female
"49,234",2018-2019,Region I - Ilocos Region,Grade 4,Male
"36,881",2018-2019,Region II - Cagayan Valley,Grade 4,Male
"107,770",2018-2019,Region III - Central Luzon,Grade 4,Male
"136,820",2018-2019,Region IV-A - CALABARZON,Grade 4,Male
"36,445",2018-2019,Region IV-B - MIMAROPA,Grade 4,Male
"69,223",2018-2019,Region V - Bicol Region,Grade 4,Male
"80,463",2018-2019,Region VI - Western Visayas,Grade 4,Male
"82,317",2018-2019,Region VII - Central Visayas,Grade 4,Male
"49,991",2018-2019,Region VIII - Eastern Visayas,Grade 4,Male
"42,549",2018-2019,Region IX - Zamboanga Peninsula,Grade 4,Male
"54,465",2018-2019,Region X - Northern Mindanao,Grade 4,Male
"55,454",2018-2019,Region XI - Davao Region,Grade 4,Male
"53,059",2018-2019,Region XII - Soccsksargen,Grade 4,Male
"32,352",2018-2019,CARAGA - CARAGA,Grade 4,Male
"38,553",2018-2019,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,Grade 4,Male
"16,736",2018-2019,CAR - Cordillera Administrative Region,Grade 4,Male
"94,422",2018-2019,NCR - National Capital Region,Grade 4,Male
"45,681",2018-2019,Region I - Ilocos Region,Grade 4,Female
"34,469",2018-2019,Region II - Cagayan Valley,Grade 4,Female
"100,385",2018-2019,Region III - Central Luzon,Grade 4,Female
"129,055",2018-2019,Region IV-A - CALABARZON,Grade 4,Female
"34,051",2018-2019,Region IV-B - MIMAROPA,Grade 4,Female
"63,366",2018-2019,Region V - Bicol Region,Grade 4,Female
"73,748",2018-2019,Region VI - Western Visayas,Grade 4,Female
"75,473",2018-2019,Region VII - Central Visayas,Grade 4,Female
"46,077",2018-2019,Region VIII - Eastern Visayas,Grade 4,Female
"39,581",2018-2019,Region IX - Zamboanga Peninsula,Grade 4,Female
"49,677",2018-2019,Region X - Northern Mindanao,Grade 4,Female
"51,777",2018-2019,Region XI - Davao Region,Grade 4,Female
"49,756",2018-2019,Region XII - Soccsksargen,Grade 4,Female
"30,133",2018-2019,CARAGA - CARAGA,Grade 4,Female
"39,321",2018-2019,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,Grade 4,Female
"15,602",2018-2019,CAR - Cordillera Administrative Region,Grade 4,Female
"89,997",2018-2019,NCR - National Capital Region,Grade 4,Female
"46,231",2019-2020,Region I - Ilocos Region,Grade 4,Male
"34,155",2019-2020,Region II - Cagayan Valley,Grade 4,Male
"101,862",2019-2020,Region III - Central Luzon,Grade 4,Male
"124,475",2019-2020,Region IV-A - CALABARZON,Grade 4,Male
"35,504",2019-2020,Region IV-B - MIMAROPA,Grade 4,Male
"68,349",2019-2020,Region V - Bicol Region,Grade 4,Male
"76,689",2019-2020,Region VI - Western Visayas,Grade 4,Male
"76,085",2019-2020,Region VII - Central Visayas,Grade 4,Male
"48,561",2019-2020,Region VIII - Eastern Visayas,Grade 4,Male
"39,550",2019-2020,Region IX - Zamboanga Peninsula,Grade 4,Male
"51,580",2019-2020,Region X - Northern Mindanao,Grade 4,Male
"52,159",2019-2020,Region XI - Davao Region,Grade 4,Male
"48,824",2019-2020,Region XII - Soccsksargen,Grade 4,Male
"31,261",2019-2020,CARAGA - CARAGA,Grade 4,Male
"38,425",2019-2020,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,Grade 4,Male
"15,891",2019-2020,CAR - Cordillera Administrative Region,Grade 4,Male
"87,525",2019-2020,NCR - National Capital Region,Grade 4,Male
"42,969",2019-2020,Region I - Ilocos Region,Grade 4,Female
"32,046",2019-2020,Region II - Cagayan Valley,Grade 4,Female
"95,618",2019-2020,Region III - Central Luzon,Grade 4,Female
"117,501",2019-2020,Region IV-A - CALABARZON,Grade 4,Female
"33,027",2019-2020,Region IV-B - MIMAROPA,Grade 4,Female
"63,002",2019-2020,Region V - Bicol Region,Grade 4,Female
"70,957",2019-2020,Region VI - Western Visayas,Grade 4,Female
"70,154",2019-2020,Region VII - Central Visayas,Grade 4,Female
"45,110",2019-2020,Region VIII - Eastern Visayas,Grade 4,Female
"37,344",2019-2020,Region IX - Zamboanga Peninsula,Grade 4,Female
"47,805",2019-2020,Region X - Northern Mindanao,Grade 4,Female
"49,114",2019-2020,Region XI - Davao Region,Grade 4,Female
"46,512",2019-2020,Region XII - Soccsksargen,Grade 4,Female
"29,122",2019-2020,CARAGA - CARAGA,Grade 4,Female
"38,628",2019-2020,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,Grade 4,Female
"14,565",2019-2020,CAR - Cordillera Administrative Region,Grade 4,Female
"82,911",2019-2020,NCR - National Capital Region,Grade 4,Female
"41,838",2020-2021,Region I - Ilocos Region,Grade 4,Male
"31,149",2020-2021,Region II - Cagayan Valley,Grade 4,Male
"94,087",2020-2021,Region III - Central Luzon,Grade 4,Male
"119,212",2020-2021,Region IV-A - CALABARZON,Grade 4,Male
"31,818",2020-2021,Region IV-B - MIMAROPA,Grade 4,Male
"60,695",2020-2021,Region V - Bicol Region,Grade 4,Male
"68,684",2020-2021,Region VI - Western Visayas,Grade 4,Male
"65,182",2020-2021,Region VII - Central Visayas,Grade 4,Male
"45,718",2020-2021,Region VIII - Eastern Visayas,Grade 4,Male
"37,700",2020-2021,Region IX - Zamboanga Peninsula,Grade 4,Male
"47,683",2020-2021,Region X - Northern Mindanao,Grade 4,Male
"43,132",2020-2021,Region XI - Davao Region,Grade 4,Male
"44,562",2020-2021,Region XII - Soccsksargen,Grade 4,Male
"28,343",2020-2021,CARAGA - CARAGA,Grade 4,Male
"37,536",2020-2021,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,Grade 4,Male
"14,572",2020-2021,CAR - Cordillera Administrative Region,Grade 4,Male
"82,853",2020-2021,NCR - National Capital Region,Grade 4,Male
"37,881",2020-2021,Region I - Ilocos Region,Grade 4,Female
"28,293",2020-2021,Region II - Cagayan Valley,Grade 4,Female
"86,262",2020-2021,Region III - Central Luzon,Grade 4,Female
"109,148",2020-2021,Region IV-A - CALABARZON,Grade 4,Female
"29,368",2020-2021,Region IV-B - MIMAROPA,Grade 4,Female
"54,332",2020-2021,Region V - Bicol Region,Grade 4,Female
"61,935",2020-2021,Region VI - Western Visayas,Grade 4,Female
"59,478",2020-2021,Region VII - Central Visayas,Grade 4,Female
"41,177",2020-2021,Region VIII - Eastern Visayas,Grade 4,Female
"35,067",2020-2021,Region IX - Zamboanga Peninsula,Grade 4,Female
"44,131",2020-2021,Region X - Northern Mindanao,Grade 4,Female
"39,215",2020-2021,Region XI - Davao Region,Grade 4,Female
"41,726",2020-2021,Region XII - Soccsksargen,Grade 4,Female
"25,712",2020-2021,CARAGA - CARAGA,Grade 4,Female
"37,688",2020-2021,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,Grade 4,Female
"13,171",2020-2021,CAR - Cordillera Administrative Region,Grade 4,Female
"77,649",2020-2021,NCR - National Capital Region,Grade 4,Female
"58,032",2016-2017,Region I - Ilocos Region,Grade 5,Male
"41,140",2016-2017,Region II - Cagayan Valley,Grade 5,Male
"122,640",2016-2017,Region III - Central Luzon,Grade 5,Male
"157,651",2016-2017,Region IV-A - CALABARZON,Grade 5,Male
"44,777",2016-2017,Region IV-B - MIMAROPA,Grade 5,Male
"96,178",2016-2017,Region V - Bicol Region,Grade 5,Male
"108,849",2016-2017,Region VI - Western Visayas,Grade 5,Male
"104,273",2016-2017,Region VII - Central Visayas,Grade 5,Male
"64,259",2016-2017,Region VIII - Eastern Visayas,Grade 5,Male
"57,733",2016-2017,Region IX - Zamboanga Peninsula,Grade 5,Male
"62,844",2016-2017,Region X - Northern Mindanao,Grade 5,Male
"67,902",2016-2017,Region XI - Davao Region,Grade 5,Male
"59,720",2016-2017,Region XII - Soccsksargen,Grade 5,Male
"36,828",2016-2017,CARAGA - CARAGA,Grade 5,Male
"36,388",2016-2017,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,Grade 5,Male
"19,991",2016-2017,CAR - Cordillera Administrative Region,Grade 5,Male
"106,546",2016-2017,NCR - National Capital Region,Grade 5,Male
"50,894",2016-2017,Region I - Ilocos Region,Grade 5,Female
"37,039",2016-2017,Region II - Cagayan Valley,Grade 5,Female
"110,290",2016-2017,Region III - Central Luzon,Grade 5,Female
"140,698",2016-2017,Region IV-A - CALABARZON,Grade 5,Female
"38,596",2016-2017,Region IV-B - MIMAROPA,Grade 5,Female
"81,848",2016-2017,Region V - Bicol Region,Grade 5,Female
"91,890",2016-2017,Region VI - Western Visayas,Grade 5,Female
"90,962",2016-2017,Region VII - Central Visayas,Grade 5,Female
"56,245",2016-2017,Region VIII - Eastern Visayas,Grade 5,Female
"50,416",2016-2017,Region IX - Zamboanga Peninsula,Grade 5,Female
"56,513",2016-2017,Region X - Northern Mindanao,Grade 5,Female
"60,610",2016-2017,Region XI - Davao Region,Grade 5,Female
"54,927",2016-2017,Region XII - Soccsksargen,Grade 5,Female
"33,169",2016-2017,CARAGA - CARAGA,Grade 5,Female
"39,871",2016-2017,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,Grade 5,Female
"17,488",2016-2017,CAR - Cordillera Administrative Region,Grade 5,Female
"98,656",2016-2017,NCR - National Capital Region,Grade 5,Female
"55,381",2017-2018,Region I - Ilocos Region,Grade 5,Male
"37,883",2017-2018,Region II - Cagayan Valley,Grade 5,Male
"116,625",2017-2018,Region III - Central Luzon,Grade 5,Male
"143,470",2017-2018,Region IV-A - CALABARZON,Grade 5,Male
"38,327",2017-2018,Region IV-B - MIMAROPA,Grade 5,Male
"78,524",2017-2018,Region V - Bicol Region,Grade 5,Male
"90,806",2017-2018,Region VI - Western Visayas,Grade 5,Male
"86,513",2017-2018,Region VII - Central Visayas,Grade 5,Male
"57,290",2017-2018,Region VIII - Eastern Visayas,Grade 5,Male
"47,944",2017-2018,Region IX - Zamboanga Peninsula,Grade 5,Male
"56,834",2017-2018,Region X - Northern Mindanao,Grade 5,Male
"59,857",2017-2018,Region XI - Davao Region,Grade 5,Male
"54,602",2017-2018,Region XII - Soccsksargen,Grade 5,Male
"33,875",2017-2018,CARAGA - CARAGA,Grade 5,Male
"36,500",2017-2018,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,Grade 5,Male
"18,249",2017-2018,CAR - Cordillera Administrative Region,Grade 5,Male
"100,726",2017-2018,NCR - National Capital Region,Grade 5,Male
"49,271",2017-2018,Region I - Ilocos Region,Grade 5,Female
"34,900",2017-2018,Region II - Cagayan Valley,Grade 5,Female
"107,239",2017-2018,Region III - Central Luzon,Grade 5,Female
"132,820",2017-2018,Region IV-A - CALABARZON,Grade 5,Female
"35,218",2017-2018,Region IV-B - MIMAROPA,Grade 5,Female
"70,674",2017-2018,Region V - Bicol Region,Grade 5,Female
"82,093",2017-2018,Region VI - Western Visayas,Grade 5,Female
"78,178",2017-2018,Region VII - Central Visayas,Grade 5,Female
"51,070",2017-2018,Region VIII - Eastern Visayas,Grade 5,Female
"43,730",2017-2018,Region IX - Zamboanga Peninsula,Grade 5,Female
"52,550",2017-2018,Region X - Northern Mindanao,Grade 5,Female
"54,185",2017-2018,Region XI - Davao Region,Grade 5,Female
"51,233",2017-2018,Region XII - Soccsksargen,Grade 5,Female
"30,730",2017-2018,CARAGA - CARAGA,Grade 5,Female
"38,789",2017-2018,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,Grade 5,Female
"16,524",2017-2018,CAR - Cordillera Administrative Region,Grade 5,Female
"94,801",2017-2018,NCR - National Capital Region,Grade 5,Female
"53,255",2018-2019,Region I - Ilocos Region,Grade 5,Male
"37,837",2018-2019,Region II - Cagayan Valley,Grade 5,Male
"115,159",2018-2019,Region III - Central Luzon,Grade 5,Male
"142,389",2018-2019,Region IV-A - CALABARZON,Grade 5,Male
"37,686",2018-2019,Region IV-B - MIMAROPA,Grade 5,Male
"73,099",2018-2019,Region V - Bicol Region,Grade 5,Male
"85,804",2018-2019,Region VI - Western Visayas,Grade 5,Male
"83,662",2018-2019,Region VII - Central Visayas,Grade 5,Male
